#Name,l_deg,b_deg,RA_deg,Dec_deg,dRA_asec,dDec_asec,Peak_mJybm,dPeak_mJybm,Flux_mJy,dFlux_mJy,Angscale_asec,dAngscale_asec,AngscaleDecon_asec,gaussMajor_asec,dGaussMajor_asec,gaussMinor_asec,dGaussMminor_asec,gaussPosangle_deg,dGaussPosangle_deg,RMS_mJybm,Sky_mJybm,Sigma,mType,fArtefact,fCluster,fEdge,fHiNoise,fHi5Sig,fNearBright,fSmoothWeighting,fOverlap7sig,fOverlap5sig,Ratio_Integrated_to_Peak,CORNISH,Distance (kpc),Physical size
G043.1699+00.0115,43.16992,0.0115,287.55722,9.10683,0.18,0.16,21.68,2.85,43.79,7.45,2.132,0.166,1.5,2.253,0.256,2.018,0.214,114.798,38.18,2.34,0.163,8.4,G,0,1,0,1,1,0,1,0,0,2.019834,G043.1699+00.0115,11.1,0.11473203
G043.1701+00.0078,43.17006,0.00783,287.56132,9.10533,0.14,0.15,90.46,8.08,1108.08,103.11,7.533,0.01,7.4,,,,,,,1.7,-0.064,52.3,P,0,1,0,1,1,0,1,1,1,12.249392,G043.1701+00.0078,11.1,0.4053829
G043.1706-00.0003,43.17064,-3.4E-4,287.56819,9.102,0.1,0.1,115.85,10.58,170.72,16.13,1.821,0.037,1.0,1.978,0.059,1.676,0.047,48.833,4.719,2.07,-0.252,56.0,G,0,1,0,1,0,0,1,1,0,1.4736297,G043.1706-00.0003,11.1,0.09799578
G043.1716+00.0001,43.17162,5.0E-5,287.56829,9.10305,0.28,0.29,16.42,2.81,51.74,11.17,2.663,0.314,2.2,2.907,0.505,2.439,0.39,141.201,36.46,2.08,-0.233,7.6,G,0,1,0,1,1,0,1,1,0,3.1510353,G043.1716+00.0001,11.1,0.1433074
G043.1720+00.0080,43.17204,0.00802,287.5613,9.10716,0.78,0.92,38.57,3.63,98.59,12.52,2.622,0.029,2.1,,,,,,,1.59,-0.103,23.3,P,0,1,0,1,1,0,1,1,1,2.5561316,G043.1720+00.0080,11.1,0.14110102
G043.1763+00.0248,43.17627,0.02478,287.54809,9.11851,0.62,0.62,24.92,2.39,159.42,21.7,4.514,0.035,4.3,,,,,,,1.55,0.064,15.2,P,0,0,0,1,1,0,1,0,0,6.397271,G043.1763+00.0248,11.1,0.2429176
G043.1778-00.5181,43.17775,-0.51806,288.03659,8.86833,0.25,0.25,12.49,1.13,181.65,23.04,7.157,0.026,7.0,,,,,,,0.46,-0.016,26.4,P,0,0,0,1,1,0,0,0,0,14.543634,G043.1778-00.5181,8.2,0.2845243
G043.2371-00.0453,43.2371,-0.0453,287.63962,9.14013,0.36,0.36,29.18,2.66,178.78,20.41,3.775,0.018,3.5,,,,,,,0.93,0.136,30.3,P,0,0,0,1,0,0,1,0,0,6.126799,G043.2371-00.0453,11.9,0.21779022
G043.3064-00.2114,43.30636,-0.21136,287.82103,9.12471,1.59,1.58,7.85,0.87,20.08,3.25,2.531,0.049,2.0,,,,,,,0.69,-0.011,10.4,P,0,0,0,1,0,0,1,0,0,2.5579617,G043.3064-00.2114,4.4,0.05399074
G043.7954-00.1274,43.79541,-0.12738,287.97512,9.59722,0.78,0.76,19.29,1.75,24.58,2.97,1.829,0.02,1.0,,,,,,,0.44,-0.005,43.1,P,0,1,0,0,0,0,0,1,0,1.2742352,G043.7954-00.1274,9.2,0.081578545
G043.7960-00.1286,43.79603,-0.12856,287.97653,9.59715,2.1,2.14,3.71,0.47,9.78,1.94,2.381,0.063,1.8,,,,,,,0.45,-0.017,7.4,P,0,1,0,0,0,0,0,1,0,2.6361184,G043.7960-00.1286,9.2,0.1061993
G043.8894-00.7840,43.8894,-0.78399,288.60878,9.37644,0.11,0.11,96.5,8.59,528.18,48.82,5.378,0.005,5.2,,,,,,,0.31,0.005,312.9,P,0,1,0,0,1,0,0,1,0,5.4733677,G043.8894-00.7840,4.4,0.11472233
